"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,Jan.22,-2.2,2.6,8.4,2022.1.24,-6.2,-11.3,2022.1.12
"		108",서울,Feb.22,-1.1,3.8,11.5,2022.2.28,-5.3,-10.7,2022.2.17
"		108",서울,Mar.22,7.7,12.7,19.5,2022.3.12,3.2,-3,2022.3.6
"		108",서울,Apr.22,14.8,20.6,28.7,2022.4.26,10,3.5,2022.4.3
"		108",서울,May.22,19.1,25,30.7,2022.5.23,13.9,7.9,2022.5.1
"		108",서울,Jun.22,23.3,27.5,32.7,2022.6.11,19.8,14.9,2022.6.15
"		108",서울,Jul.22,27.3,31,36.1,2022.7.30,24.2,20.8,2022.7.21
"		108",서울,Aug.22,25.7,28.9,32.9,2022.8.4,23.1,16.1,2022.8.28
"		108",서울,Sep.22,22.4,27.2,32.5,2022.9.18,18.2,12.3,2022.9.24
"		108",서울,Oct.22,14.6,19.7,27.6,2022.10.1,10.3,4.4,2022.10.19
"		108",서울,Nov.22,10,15.4,22.1,2022.11.11,5.6,-8.1,2022.11.30
"		108",서울,Dec.22,-2.8,1.7,10.2,2022.12.9,-6.6,-13.7,2022.12.23
"		108",서울,Jan.23,-1.5,3.2,12.5,2023.1.12,-5.7,-17.3,2023.1.25
"		108",서울,Feb.23,2.3,7.3,12.4,2023.2.27,-1.9,-5.3,2023.2.21
"		108",서울,Mar.23,9.8,16.2,25.1,2023.3.22,4.2,-1.9,2023.3.13
"		108",서울,Apr.23,13.8,19,28.4,2023.4.19,8.8,3.1,2023.4.8
"		108",서울,May.23,19.5,25,31.2,2023.5.16,14.6,7.9,2023.5.8
"		108",서울,Jun.23,23.4,27.9,34,2023.6.19,19.7,16.6,2023.6.3
"		108",서울,Jul.23,26.7,30.2,34.9,2023.7.30,23.9,21.6,2023.7.11
"		108",서울,Aug.23,27.2,30.8,35.8,2023.8.8,24.3,20.8,2023.8.28
"		108",서울,Sep.23,23.7,27.6,32.8,2023.9.5,20.2,15.2,2023.9.22
"		108",서울,Oct.23,15.8,21,24.6,2023.10.2,11.5,5.4,2023.10.22
"		108",서울,Nov.23,6.8,11.5,25.9,2023.11.2,2.9,-7.3,2023.11.30
"		108",서울,Dec.23,1.1,5.2,16.8,2023.12.8,-2.5,-14.7,2023.12.22
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
